@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2,3}

@data
47,'2019/05/08 13:53:21:524',48,1.0538,0.00894,0.115924,1.811328,5.171134,-0.477108,-17.79513,3.357715,25.301718,15.935249,1.0538,0.00894,0.115924,1.811328,5.171134,-0.477108,-17.79513,3.357715,25.301718,15.935249,1
48,'2019/05/08 13:53:22:723',49,1.569384,0.315542,0.420012,-4.356172,-8.838203,-18.16987,-2.204866,31.178461,14.852636,-6.729264,1.569384,0.315542,0.420012,-4.356172,-8.838203,-18.16987,-2.204866,31.178461,14.852636,-6.729264,1
49,'2019/05/08 13:53:23:890',50,-0.674367,0.774394,2.443544,1.897844,1.248968,1.731539,-6.508069,-10.493377,-25.134855,12.952929,-0.674367,0.774394,2.443544,1.897844,1.248968,1.731539,-6.508069,-10.493377,-25.134855,12.952929,1
50,'2019/05/08 13:53:24:988',51,0.237722,-0.024168,-0.491987,0.109399,-0.2406,-0.120035,-0.369229,-1.247841,0.796339,0.863731,0.237722,-0.024168,-0.491987,0.109399,-0.2406,-0.120035,-0.369229,-1.247841,0.796339,0.863731,1
51,'2019/05/08 13:53:25:990',52,-0.08388,0.367593,-0.128336,-1.687954,3.316738,7.047204,4.626096,-23.96604,-19.651731,40.802616,-0.08388,0.367593,-0.128336,-1.687954,3.316738,7.047204,4.626096,-23.96604,-19.651731,40.802616,1
52,'2019/05/08 13:53:26:924',53,0.83144,1.923435,2.287307,4.441665,5.660373,1.641924,-6.502861,-25.940128,8.388516,36.37159,0.83144,1.923435,2.287307,4.441665,5.660373,1.641924,-6.502861,-25.940128,8.388516,36.37159,1
53,'2019/05/08 13:53:27:890',54,0.788306,1.101204,0.306131,0.156916,4.678144,4.890833,3.504829,-19.614929,-30.748976,24.427725,0.788306,1.101204,0.306131,0.156916,4.678144,4.890833,3.504829,-19.614929,-30.748976,24.427725,1
54,'2019/05/08 13:53:28:926',55,0.687041,0.835047,1.163562,1.981261,2.116561,5.321248,1.29452,-1.423942,-24.831154,-23.43862,0.687041,0.835047,1.163562,1.981261,2.116561,5.321248,1.29452,-1.423942,-24.831154,-23.43862,1
55,'2019/05/08 13:53:30:058',56,0.745181,1.167748,1.106481,1.276076,2.858237,4.591471,-2.342974,-11.798251,-34.409122,20.017626,0.745181,1.167748,1.106481,1.276076,2.858237,4.591471,-2.342974,-11.798251,-34.409122,20.017626,1
56,'2019/05/08 13:53:40:107',57,0.28346,0.706555,0.787368,-0.550309,-0.373064,1.926155,21.708057,34.758495,24.89278,24.10993,0.28346,0.706555,0.787368,-0.550309,-0.373064,1.926155,21.708057,34.758495,24.89278,24.10993,2
