@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
79,'2019/04/30 13:05:43:066',18,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,3
80,'2019/04/30 13:05:43:091',18,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,3
81,'2019/04/30 13:05:43:091',18,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,3
82,'2019/04/30 13:05:43:114',18,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,3
83,'2019/04/30 13:05:43:132',18,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,1.330175,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,3
84,'2019/04/30 13:05:43:148',18,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,0.131812,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,3
85,'2019/04/30 13:05:43:165',18,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.013502,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,3
86,'2019/04/30 13:05:43:183',18,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,0.095363,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,3
87,'2019/04/30 13:05:43:212',18,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,0.294616,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,3
88,'2019/04/30 13:05:43:212',18,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,0.259019,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,3
89,'2019/04/30 13:05:43:238',18,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-0.346066,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,3
90,'2019/04/30 13:05:43:238',18,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-0.514029,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,3
91,'2019/04/30 13:05:43:258',18,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.426123,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,3
92,'2019/04/30 13:05:43:283',18,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.150131,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,3
93,'2019/04/30 13:05:43:283',18,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.170601,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,3
94,'2019/04/30 13:05:43:302',18,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,-0.836428,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,3
95,'2019/04/30 13:05:43:321',18,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,0.409071,-0.851438,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,0.409071,3
96,'2019/04/30 13:05:43:339',18,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,0.409071,-0.147512,-0.521973,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,0.409071,-0.147512,3
97,'2019/04/30 13:05:43:355',18,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,0.409071,-0.147512,-0.417839,-0.682896,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,0.409071,-0.147512,-0.417839,3
98,'2019/04/30 13:05:43:403',18,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,0.409071,-0.147512,-0.417839,-0.838685,-0.865688,-1.233565,-1.289956,-0.654878,-0.352691,-0.007682,0.409071,-0.147512,-0.417839,-0.838685,3
